step,day,hour,timestamp
1,1,0,2025-09-29 05:53:55.702654
2,1,1,2025-09-29 05:53:55.702659
3,1,2,2025-09-29 05:53:55.702662
4,1,3,2025-09-29 05:53:55.702665
5,1,4,2025-09-29 05:53:55.702667
6,1,5,2025-09-29 05:53:55.702669
7,1,6,2025-09-29 05:53:55.702671
8,1,7,2025-09-29 05:53:55.702673
9,1,8,2025-09-29 05:53:55.702675
10,1,9,2025-09-29 05:53:55.702677
11,1,10,2025-09-29 05:53:55.702679
12,1,11,2025-09-29 05:53:55.702681
13,1,12,2025-09-29 05:53:55.702683
14,1,13,2025-09-29 05:53:55.702685
15,1,14,2025-09-29 05:53:55.702687
16,1,15,2025-09-29 05:53:55.702689
17,1,16,2025-09-29 05:53:55.702691
18,1,17,2025-09-29 05:53:55.702693
19,1,18,2025-09-29 05:53:55.702695
20,1,19,2025-09-29 05:53:55.702697
21,1,20,2025-09-29 05:53:55.702699
22,1,21,2025-09-29 05:53:55.702701
23,1,22,2025-09-29 05:53:55.702702
24,1,23,2025-09-29 05:53:55.702704
25,2,0,2025-09-29 05:53:55.702738
26,2,1,2025-09-29 05:53:55.702740
27,2,2,2025-09-29 05:53:55.702742
28,2,3,2025-09-29 05:53:55.702744
29,2,4,2025-09-29 05:53:55.702746
30,2,5,2025-09-29 05:53:55.702748
31,2,6,2025-09-29 05:53:55.702750
32,2,7,2025-09-29 05:53:55.702752
33,2,8,2025-09-29 05:53:55.702754
34,2,9,2025-09-29 05:53:55.702756
35,2,10,2025-09-29 05:53:55.702758
36,2,11,2025-09-29 05:53:55.702759
37,2,12,2025-09-29 05:53:55.702761
38,2,13,2025-09-29 05:53:55.702763
39,2,14,2025-09-29 05:53:55.702765
40,2,15,2025-09-29 05:53:55.702767
41,2,16,2025-09-29 05:53:55.702769
42,2,17,2025-09-29 05:53:55.702771
43,2,18,2025-09-29 05:53:55.702773
44,2,19,2025-09-29 05:53:55.702775
45,2,20,2025-09-29 05:53:55.702776
46,2,21,2025-09-29 05:53:55.702778
47,2,22,2025-09-29 05:53:55.702780
48,2,23,2025-09-29 05:53:55.702782
49,3,0,2025-09-29 05:53:55.702805
50,3,1,2025-09-29 05:53:55.702807
51,3,2,2025-09-29 05:53:55.702809
52,3,3,2025-09-29 05:53:55.702811
53,3,4,2025-09-29 05:53:55.702813
54,3,5,2025-09-29 05:53:55.702815
55,3,6,2025-09-29 05:53:55.702817
56,3,7,2025-09-29 05:53:55.702819
57,3,8,2025-09-29 05:53:55.702822
58,3,9,2025-09-29 05:53:55.702824
59,3,10,2025-09-29 05:53:55.702826
60,3,11,2025-09-29 05:53:55.702828
61,3,12,2025-09-29 05:53:55.702830
62,3,13,2025-09-29 05:53:55.702832
